Var1,Var2,Var3,Var4
10FTHF5GLUtl,"5-Glutamyl-10Fthf Transport, Lysosomal",0,250
10FTHF5GLUtm,"5-Glutamyl-10Fthf Transport, Mitochondrial",0,250
10FTHF6GLUtl,"6-Glutamyl-10Fthf Transport, Lysosomal",0,200
10FTHF6GLUtm,"6-Glutamyl-10Fthf Transport, Mitochondrial",0,200
10FTHF7GLUtl,"7-Glutamyl-10Fthf Transport, Lysosomal",0,166.666666666667
10FTHF7GLUtm,"7-Glutamyl-10Fthf Transport, Mitochondrial",0,166.666666666667
10FTHFtl,"10-Formyltetrahydrofolate Lysosomal Transport via Diffusion",-250,0
10FTHFtm,"10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion",-1000,1000
11DOCRTSLtm,"11-Deoxycortisol Intracellular Transport",0,101.724091453532
11DOCRTSLtr,"11-Deoxycortisol Intracellular Transport",-101.724091453545,0
11DOCRTSTRNtm,"11-Deoxycorticosterone Intracellular Transport",0,101.724091453539
11DOCRTSTRNtr,"11-Deoxycorticosterone Intracellular Transport",-101.72409145353,0
13DAMPPOX,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",0,188.537269887014
1a_24_25VITD2Hm,"1-Alpha-Vitamin D-24, 25-Hydroxylase (D2)",0,0
1a_24_25VITD3Hm,"1-Alpha-Vitamin D-24, 25-Hydroxylase (D3)",0,0
1a_25VITD2Hm,"1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D2)",0,0
1a_25VITD3Hm,"1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D3)",0,0
1MNCAMti,"N1-Methylnicotinamide Transport",0,1000
1PPDCRp,"Delta1-Piperideine-2-Carboxylate Reductase, Perixosomal",0,0.0308559999971528
24_25DHVITD2t,"24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm",0,0
24_25DHVITD2tm,"24, 25-Dihydroxyvitamin D2 Transport from Mitochondria",0,0
24_25DHVITD3t,"24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm",0,68.0175749257359
24_25DHVITD3tm,"24, 25-Dihydroxyvitamin D3 Transport from Mitochondria",0,68.0175749257356
24_25VITD2Hm,"24R-Vitamin D-25-Hydroxylase (D2)",0,0
24_25VITD3Hm,"24R-Vitamin D-25-Hydroxylase (D3)",0,68.0175749257356
24NPHte,"Transport of Xenobiotic",0,0
25HVITD2t,"25-Hydroxyvitamin D2 Transport from Cytoplasm",0,1000
25HVITD2tin,"25-Hydroxyvitamin D2 Transport in Cytoplasm",0,1000
25HVITD2tin_m,"25-Hydroxyvitamin D2 Transport in Mitochondria",0,1000
25HVITD2tm,"25-Hydroxyvitamin D2 Transport from Mitochondria",0,1000
25HVITD3t,"25-Hydroxyvitamin D3 Transport from Cytoplasm",0,1000
25HVITD3tin_m,"25-Hydroxyvitamin D3 Transport in Mitochondria",0,1000
25HVITD3tm,"25-Hydroxyvitamin D3 Transport from Mitochondria",0,1000
25VITD2Hm,"1-Alpha-Vitamin D-25-Hydroxylase (D2)",0,0
25VITD3Hm,"1-Alpha-Vitamin D-25-Hydroxylase (D3)",0,68.0175749257359
2AMACHYD,"2-Aminoacrylate Hydrolysis",0,1000
2AMACSULT,"2-Aminoacrylate Sulfotransferase",0,0.00957600000016857
2AMADPTm,"L-2-Aminoadipate Shuttle (Cytosol/Mitochondria)",0,1000
2DR1PP,"2-Deoxy-D-Ribose 1-Phosphate Phosphorylase",0,1000
2HBO,"2-Hydroxybutyrate:NAD+ Oxidoreductase",-816.711759490388,0
2HBt2,"2-Hydroxybutyrate Symport with Proton",-1000,1000
2HCO3_NAt,"Bicarbonate Transport (Na/Hco3 1:2 Symport)",-1000,1000
2MCITt,"2-Methylcitrate Transport via Diffusion",0,484.872555700195
2OXOADOXm,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",0,0.0385700000010868
2OXOADPTm,"2-Oxoadipate Shuttle (Cytosol/Mitochondria)",-1000,0.0385700000000527
34DHOXPEGOX,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",0,0.0231420000012197
34DHOXPEGt,"3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)",0,0.0231420000000737
34DHPHAMT,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",0,0.0231420000001486
34DHPHEt,"3, 4-Dihydroxy-L-Phenylalanine Transport",-1000,0
34DHPLACOX,"3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase",0,1000
34DHPLACOX_NADP_,"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase",-1000,0.0231420000000169
34DHXMANDACOX,"3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase",0,1000
